afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
24.824867,2209,true,true,637,40.457005,24.824867,2209,637,false,98,2019-11-16 00:32:19+00:00,0,0,0,0,0,0,2019-11-15 23:44:53+00:00,2019-11-16 00:21:42+00:00,637,0,0,0,b9160EB2,null,141b1,06e912bb
0.32647502,68,true,true,0,17.283972,0.32647502,68,0,false,33,2019-11-16 00:21:48.187000+00:00,0,0,0,0,0,0,2019-11-16 00:20:40.127000+00:00,2019-11-16 00:21:48.127000+00:00,0,0,0,0,b945E38C,null,0eb,c54eb983
1.0698242,384,true,true,197,10.005188,1.0698242,384,197,false,44,2019-11-16 00:25:14+00:00,0,0,0,0,0,0,2019-11-16 00:15:32.063000+00:00,2019-11-16 00:21:57+00:00,197,0,0,0,b91C1955,null,eb20,191b55c9
1.5857189,342,true,true,348,16.691778,1.5857189,342,0,false,61,2019-11-16 00:28:02.126000+00:00,0,0,0,0,0,0,2019-11-16 00:16:32.063000+00:00,2019-11-16 00:22:14.063000+00:00,348,0,0,0,b9464AA4,null,3b55,baa64494
0.31262445,43,true,true,0,25.61329,0.31262445,43,0,false,33,2019-11-16 00:22:32.187000+00:00,0,0,0,0,0,0,2019-11-16 00:21:48.187000+00:00,2019-11-16 00:22:32.127000+00:00,0,0,0,0,b945E38D,null,e0b,94eb5d38
0.6430607,129,true,true,295,17.81647,0.6430607,129,6,false,39,2019-11-16 00:28:09.063000+00:00,0,0,0,0,0,0,2019-11-16 00:21:04.063000+00:00,2019-11-16 00:23:14+00:00,295,0,0,0,b902CFF5,null,81b5,b90ff25c
62.935062,3551,true,true,393,63.786667,62.935062,3551,13,false,116,2019-11-16 00:29:52.063000+00:00,2,382,0,0,0,0,2019-11-15 23:24:07.063000+00:00,2019-11-16 00:23:19+00:00,393,0,0,0,b902D016,null,7b8d,69b02d01
0.19431959,50,true,true,0,13.750109,0.19431959,50,0,false,29,2019-11-16 00:23:23.137000+00:00,0,0,0,0,0,0,2019-11-16 00:22:32.187000+00:00,2019-11-16 00:23:23.063000+00:00,0,0,0,0,b945E38E,null,0be,b3e9485e
61.94729,3216,true,true,50332,69.3426,61.94729,3216,0,false,129,2019-11-16 14:22:17.062000+00:00,5,430,0,0,0,0,2019-11-15 23:29:48.063000+00:00,2019-11-16 00:23:24.127000+00:00,50332,0,0,0,b924B256,null,11b9,4bb25962
75.17026,3056,true,true,471,88.55135,75.17026,3056,4,false,116,2019-11-16 00:31:21.063000+00:00,2,47,0,0,0,0,2019-11-15 23:32:34+00:00,2019-11-16 00:23:30+00:00,471,0,0,0,b91A5700,null,7cbf1,a010b975
